timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635929262821,1041,1 launch_application,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,2781,771,1,1,null,0,3004,0
1635929265823,682,1 launch_application,200,OK,Thread Group 1-1,text,true,,1026,365,1,1,http://18.221.250.120:1080/cgi-bin/welcome.pl?signOff=true,677,0,322
1635929266506,359,2 launch_application,200,OK,Thread Group 1-1,text,true,,1755,406,1,1,http://18.221.250.120:1080/cgi-bin/nav.pl?in=home,356,0,0
1635929266867,1412,3 login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,3755,1608,1,1,null,0,3001,0
1635929269868,669,3 login,200,OK,Thread Group 1-1,text,true,,848,599,1,1,http://18.221.250.120:1080/cgi-bin/login.pl,656,0,297
1635929270537,393,4 login,200,OK,Thread Group 1-1,text,true,,1749,507,1,1,http://18.221.250.120:1080/cgi-bin/nav.pl?page=menu&in=home,393,0,0
1635929270930,350,5 login,200,OK,Thread Group 1-1,text,true,,1158,502,1,1,http://18.221.250.120:1080/cgi-bin/login.pl?intro=true,339,0,0
1635929271281,1369,6 click_flights,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,7113,1570,1,1,null,0,3013,0
1635929274294,680,6 click_flights,200,OK,Thread Group 1-1,text,true,,844,521,1,1,http://18.221.250.120:1080/cgi-bin/welcome.pl?page=search,674,0,292
1635929274974,331,7 click_flights,200,OK,Thread Group 1-1,text,true,,1749,524,1,1,http://18.221.250.120:1080/cgi-bin/nav.pl?page=menu&in=flights,326,0,0
1635929275305,358,8 click_flights,200,OK,Thread Group 1-1,text,true,,4520,525,1,1,http://18.221.250.120:1080/cgi-bin/reservations.pl?page=welcome,353,0,0
1635929275663,1062,11 logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,2782,925,1,1,null,0,3005,0
1635929278668,659,11 logout,200,OK,Thread Group 1-1,text,true,,1026,522,1,1,http://18.221.250.120:1080/cgi-bin/welcome.pl?signOff=1,654,0,307
